isoform,offset,strae,r2
CYP2C9,-1.6,4.155707760534609,-3.823827369076322
CYP2C9,-1.59,4.1264977342226326,-3.7714638774971077
CYP2C9,-1.58,4.097304715327068,-3.7194274459624115
CYP2C9,-1.57,4.068121839316265,-3.667718074472231
CYP2C9,-1.56,4.0389822673718125,-3.616335763026563
CYP2C9,-1.55,4.0098765727185235,-3.56528051162541
CYP2C9,-1.54,3.9808028835744556,-3.514552320268775
CYP2C9,-1.53,3.95174778138063,-3.464151188956654
CYP2C9,-1.52,3.922711524427625,-3.4140771176890476
CYP2C9,-1.51,3.8937156127210577,-3.3643301064659568
CYP2C9,-1.5,3.8647585955871353,-3.3149101552873823
CYP2C9,-1.49,3.8358214896480685,-3.2658172641533225
CYP2C9,-1.48,3.8069243487997277,-3.2170514330637783
CYP2C9,-1.47,3.77805193307939,-3.168612662018747
CYP2C9,-1.46,3.7492120370433826,-3.1205009510182338
CYP2C9,-1.45,3.7204097335851554,-3.0727163000622353
CYP2C9,-1.44,3.691633107975842,-3.0252587091507515
CYP2C9,-1.43,3.662878506345083,-2.9781281782837823
CYP2C9,-1.42,3.6341713540058884,-2.9313247074613304
CYP2C9,-1.41,3.605497556249958,-2.8848482966833937
CYP2C9,-1.4,3.576870230458488,-2.8386989459499703
CYP2C9,-1.39,3.5482807524596036,-2.792876655261062
CYP2C9,-1.38,3.519736915222137,-2.747381424616671
CYP2C9,-1.37,3.4912176896563096,-2.702213254016795
CYP2C9,-1.36,3.4627160623283,-2.6573721434614344
CYP2C9,-1.35,3.434271404109193,-2.612858092950588
CYP2C9,-1.34,3.4058654593889535,-2.5686711024842563
