isoform,offset,s,strae
CYP1A2,-1.6,1.75,2.8886288985822333
CYP1A2,-1.6,1.8,2.891231449820352
CYP1A2,-1.6,1.85,2.8944672080112586
CYP1A2,-1.6,1.9,2.8983352696637823
CYP1A2,-1.6,1.95,2.902917233726846
CYP1A2,-1.6,2.0,2.9082197105618577
CYP1A2,-1.6,2.05,2.914371622618054
CYP1A2,-1.6,2.1,2.921234780712352
CYP1A2,-1.6,2.15,2.9289097439371785
CYP1A2,-1.6,2.2,2.937444909314312
CYP1A2,-1.6,2.25,2.946852472859902
CYP1A2,-1.6,2.3,2.95700002292389
CYP1A2,-1.6,2.35,2.967912045896527
CYP1A2,-1.6,2.4,2.9796463573240146
CYP1A2,-1.6,2.45,2.9922891918699843
CYP1A2,-1.6,2.5,3.0057506099618028
CYP1A2,-1.6,2.55,3.020070040549885
CYP1A2,-1.6,2.6,3.035200354154329
CYP1A2,-1.6,2.65,3.0511948709990033
CYP1A2,-1.6,2.7,3.06805991918052
CYP1A2,-1.6,2.75,3.0857080090117974
CYP1A2,-1.6,2.8,3.1040687486408722
CYP1A2,-1.6,2.85,3.123152095232193
CYP1A2,-1.6,2.9,3.1430314059234252
CYP1A2,-1.6,2.95,3.1636434407895275
CYP1A2,-1.6,3.0,3.184885236917066
CYP1A2,-1.55,0.2,2.9291774422668198
CYP1A2,-1.55,0.25,2.921154059127764
CYP1A2,-1.55,0.3,2.913510483791227
CYP1A2,-1.55,0.35,2.9061964221506553
CYP1A2,-1.55,0.4,2.8991296801697666
CYP1A2,-1.55,0.45,2.892281422752521
CYP1A2,-1.55,0.5,2.8856110954307495
CYP1A2,-1.55,0.55,2.8791038360496244
CYP1A2,-1.55,0.6,2.8727016723804377
CYP1A2,-1.55,0.65,2.8664061929056492
CYP1A2,-1.55,0.7,2.860219183830014
CYP1A2,-1.55,0.75,2.8541709868353338
CYP1A2,-1.55,0.8,2.8482582134636427
CYP1A2,-1.55,0.85,2.8424840602334296
CYP1A2,-1.55,0.9,2.8369586572878154
CYP1A2,-1.55,0.95,2.831637640678897
CYP1A2,-1.55,1.0,2.8266700721100952
CYP1A2,-1.55,1.05,2.8220283851950834
CYP1A2,-1.55,1.1,2.8176825417265223
CYP1A2,-1.55,1.15,2.813633623403073
CYP1A2,-1.55,1.2,2.810078628523218
CYP1A2,-1.55,1.25,2.8068840601190046
CYP1A2,-1.55,1.3,2.8040348287416546
CYP1A2,-1.55,1.35,2.8016648027278483
CYP1A2,-1.55,1.4,2.7997683242031903
CYP1A2,-1.55,1.45,2.7983860083841665
CYP1A2,-1.55,1.5,2.7975024602707554
CYP1A2,-1.55,1.55,2.7971044249004313
CYP1A2,-1.55,1.6,2.797296894649624
CYP1A2,-1.55,1.65,2.7981221243869383
CYP1A2,-1.55,1.7,2.7996694931878716
CYP1A2,-1.55,1.75,2.8019632628352644
CYP1A2,-1.55,1.8,2.804911698255435
CYP1A2,-1.55,1.85,2.8085411924051873
CYP1A2,-1.55,1.9,2.81294673666647
CYP1A2,-1.55,1.95,2.818062830855302
CYP1A2,-1.55,2.0,2.823975053367487
CYP1A2,-1.55,2.05,2.830621830517576
CYP1A2,-1.55,2.1,2.8381792473101277
CYP1A2,-1.55,2.15,2.846591620216733
CYP1A2,-1.55,2.2,2.8558918106796907
CYP1A2,-1.55,2.25,2.8659840759446653
CYP1A2,-1.55,2.3,2.8768671286214254
CYP1A2,-1.55,2.35,2.8885876704714994
CYP1A2,-1.55,2.4,2.901164487638893
CYP1A2,-1.55,2.45,2.914637180305616
CYP1A2,-1.55,2.5,2.9290508757043034
CYP1A2,-1.55,2.55,2.944336215331556
CYP1A2,-1.55,2.6,2.960503174241414
CYP1A2,-1.55,2.65,2.9774737207655964
CYP1A2,-1.55,2.7,2.9952061254484654
CYP1A2,-1.55,2.75,3.013597689062636
CYP1A2,-1.55,2.8,3.0328061701012596
CYP1A2,-1.55,2.85,3.052864763862894
CYP1A2,-1.55,2.9,3.073616002190007
