repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
1,2,baseline,3479688010,CYP2C9_pIC50_direct_inhibition,0.5478286578110553,0.4426173216260456,0.5354370711927058,0.7298256452256199,0.5367558149328755
1,2,baseline,3479688010,CYP2D6_pIC50_direct_inhibition,1.0920388543794688,0.6364520320967919,-0.0100779027471289,0.3765312428637281,0.256862774019205
1,2,baseline,3479688010,CYP3A4_pIC50_direct_inhibition,0.4691185004179204,0.5504235655698129,0.6109696650269194,0.777886421384598,0.5904551021124567
1,2,baseline,3479688010,MA,0.7482242225718763,0.5870869539806339,0.3319477124976763,0.5939284640380917,0.4313438649831128
1,3,aid,877132087,CYP1A2_pIC50_direct_inhibition,0.8472840254435143,0.6331889481290238,0.2728995772706978,0.4697431187504428,0.3248835065003346
1,3,aid,877132087,CYP2C9_pIC50_direct_inhibition,0.7180092481777772,0.4479114043048063,0.3734193037289207,0.5892984944487712,0.426504512348521
1,3,aid,877132087,CYP2D6_pIC50_direct_inhibition,0.8564837552350913,0.589244471879522,0.2018871000062309,0.4424894895029966,0.3006177242456707
1,3,aid,877132087,CYP3A4_pIC50_direct_inhibition,0.5914225047651853,0.5422924759392593,0.5641062282720521,0.7428349103386781,0.5514346802804316
1,3,aid,877132087,MA,0.753299883405392,0.5531593250631529,0.3530780523194754,0.5610915032602223,0.4008601058437395
1,3,baseline,877132087,CYP1A2_pIC50_direct_inhibition,0.964849333136412,0.6703241740623572,0.1914535711653392,0.4746089196534236,0.3322402173106076
1,3,baseline,877132087,CYP2C9_pIC50_direct_inhibition,0.6545571250611353,0.436621615607755,0.3811998494308208,0.6272041286911003,0.4596889430697708
1,3,baseline,877132087,CYP2D6_pIC50_direct_inhibition,0.986497821006575,0.6463428918460373,0.1040678374466723,0.4130596233547198,0.2833810127637589
1,3,baseline,877132087,CYP3A4_pIC50_direct_inhibition,0.508527115695503,0.507871961845503,0.6082028848270956,0.7883116496437722,0.5921302334922994
1,3,baseline,877132087,MA,0.7786078487249064,0.5652901608404132,0.321231035717482,0.575796080335754,0.4168601016591092
1,4,aid,1244265337,CYP1A2_pIC50_direct_inhibition,0.8946239276119629,0.6802953123158706,0.1972542210198052,0.5338844783287144,0.3756471311578507
1,4,aid,1244265337,CYP2C9_pIC50_direct_inhibition,0.6668757441463871,0.4310260224627961,0.4200703391188698,0.6369384458408363,0.4622634060912639
1,4,aid,1244265337,CYP2D6_pIC50_direct_inhibition,1.0651183372150512,0.6345921941396551,0.0717493765022982,0.4067044739129911,0.2804006351324802
1,4,aid,1244265337,CYP3A4_pIC50_direct_inhibition,0.5772278434476722,0.5675176370790542,0.5292103322872206,0.7395835758073186,0.5498203640727484
1,4,aid,1244265337,MA,0.8009614631052683,0.578357791499344,0.3045710672320485,0.5792777434724651,0.4170328841135858
1,4,baseline,1244265337,CYP1A2_pIC50_direct_inhibition,0.8946151251506241,0.6850371330317697,0.2220846022934639,0.549993172278269,0.3815805988777533
1,4,baseline,1244265337,CYP2C9_pIC50_direct_inhibition,0.6767797050011155,0.4408221930623345,0.3839237839768898,0.6060769112740536,0.4372842706403575
1,4,baseline,1244265337,CYP2D6_pIC50_direct_inhibition,1.0857127255633714,0.639873664216777,0.0565724112071288,0.4182616695059981,0.2855437437130649
1,4,baseline,1244265337,CYP3A4_pIC50_direct_inhibition,0.559841925628412,0.5623798388304512,0.51065483437726,0.7263151870023785,0.5438547738431998
1,4,baseline,1244265337,MA,0.8042373703358807,0.5820282072853331,0.2933089079636857,0.5751617350151749,0.4120658467685939
2,0,aid,2740186692,CYP1A2_pIC50_direct_inhibition,0.8317770336160619,0.6266689038006341,0.3129502552174825,0.5714162127764578,0.4079508206492027
2,0,aid,2740186692,CYP2C9_pIC50_direct_inhibition,0.7240220372252106,0.4418416649916603,0.3360161224078045,0.6156762322229731,0.4475368595524898
2,0,aid,2740186692,CYP2D6_pIC50_direct_inhibition,0.9731833080714268,0.5828199209645732,0.1570196422073759,0.4681951074330129,0.3277078159315168
2,0,aid,2740186692,CYP3A4_pIC50_direct_inhibition,0.5029925869786984,0.5203094663368752,0.6314646423502349,0.8012802823664574,0.6074229541733687
2,0,aid,2740186692,MA,0.7579937414728495,0.5429099890234358,0.3593626655457245,0.6141419586997252,0.4476546125766445
2,0,baseline,2740186692,CYP1A2_pIC50_direct_inhibition,0.8542142959494546,0.6602969113614529,0.2784793661537718,0.5120908534861406,0.3593027488693175
2,0,baseline,2740186692,CYP2C9_pIC50_direct_inhibition,0.792785879482341,0.4668186692150114,0.2272084897640478,0.5268395695008877,0.3795715076313796
2,0,baseline,2740186692,CYP2D6_pIC50_direct_inhibition,1.083036134923653,0.6292067925043452,0.0080848800911973,0.3828223888982345,0.2602819890059764
2,0,baseline,2740186692,CYP3A4_pIC50_direct_inhibition,0.5096695518424862,0.5448691260471543,0.5840390341873842,0.7640071557584149,0.5684749806855163
2,0,baseline,2740186692,MA,0.8099264655494838,0.575297874781991,0.2744529425491003,0.5464399919109194,0.3919078065480474
2,1,aid,3884972972,CYP1A2_pIC50_direct_inhibition,0.8591561286726517,0.6196134621543604,0.2924603746015236,0.5513754093502522,0.3873713771161883
